N,A,mode,lambda_over_d,dx,energy,initial_curvature,line_length_factor,initial_min_separation,probe_min_separation,graph_event_time,slice_event_time,event_by_tmax,slice_event_by_tmax,initial_components,initial_cycle_rank,probe_components,probe_cycle_rank,initial_orientation_entropy,probe_orientation_entropy,orientation_jsd,edge_growth,probe_branch_fraction,projection_loss_probe,separation_collapse,initial_mode_power,probe_mode_power,initial_off_power,probe_off_power,spectral_leakage_gain,total_deformation_gain_log,spectral_entropy_change,G_proxy,R_proxy,D_proxy,runtime_seconds
40,1.0,3,1.7777777777777777,0.8,0.02492432679868181,0.22195319470425726,1.0817895733403953,3.9999999999999964,3.9999999999999964,,,0,0,2,2,2,2,0.5333570581245927,0.5333570581245927,0.0,0.0,0.0,0.2727272727272727,0.0,0.5107349249694415,0.5107349249694415,0.04666507503055828,0.04666507503055828,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,3.3866193294525146
40,1.0,4,1.3333333333333333,0.8,0.02668334357226115,0.30003716651976714,1.139837155984821,3.9999999999999964,3.9999999999999964,,,0,0,2,2,2,2,0.5793801642856932,0.8409160494198339,0.061477271610628624,0.12516314295400502,0.0,0.4117647058823529,0.0,0.4761287784239774,0.36373002067198357,0.039071221576022275,0.09386997932801677,0.11509230324885523,-0.11855973472430996,0.1344882131509324,0.11509230324885523,0.18664041456463365,0.4991137386383387,3.2042462825775146
40,1.0,5,1.0666666666666667,0.8,0.02894499974021817,0.35022281377776,1.2090111759727258,3.9999999999999964,4.800000000000001,,,0,0,2,2,2,2,0.6064727741416666,0.8420887815606443,0.09094338369677327,0.0,0.0,0.3846153846153846,-0.2000000000000012,0.4279898987322329,0.40798989873223396,0.047010101267766835,0.0570101012677669,0.023365037421673094,-0.02127739844723722,0.030681545436583968,0.023365037421673094,0.09094338369677327,0.5289742290603495,3.040811538696289
40,1.0,6,0.8888888888888888,0.8,0.031708890938424356,0.37612699006676564,1.2872884622790228,3.9999999999999964,4.800000000000001,,,0,0,2,2,2,2,0.6216097450797547,0.9490444625338107,0.17348879355891902,0.15822400521489305,0.0,0.5121951219512195,-0.2000000000000012,0.5095084901654224,0.48588988702940794,0.043291509834577524,0.09571011297059151,0.10288072553784595,0.05078665376575897,0.11025142850310457,0.1536673793036049,0.3317127987738121,0.6985613888532054,3.052778720855713
40,1.0,7,0.7619047619047619,0.8,0.03497335391118573,0.38469018346762945,1.3726353650185188,3.9999999999999964,5.600000000000001,,,0,0,2,2,2,2,0.6289054987282631,0.8414655923966066,0.28466038858490744,0.0,0.0,0.4666666666666667,-0.4000000000000015,0.5107349249694416,0.45398813031082014,0.04666507503055839,0.053811869689179226,0.01399315830816632,-0.09319544577709576,0.04287780922768966,0.01399315830816632,0.28466038858490744,0.8150317005410602,3.2695107460021973
40,1.0,8,0.6666666666666666,0.8,0.03874131292813878,0.3821497942272087,1.463507996179502,3.9999999999999964,5.600000000000001,,,0,0,2,2,2,2,0.6309297535714555,0.8586727110732523,0.3049932734851629,0.0,0.0,0.5,-0.4000000000000015,0.6348383712319705,0.41795169078398153,0.005161628768029614,0.017248309216018387,0.019038988497992432,-0.3856624808112497,0.04001310565568626,0.019038988497992432,0.3049932734851629,0.8465189437392274,3.339832067489624
40,1.2,1,5.333333333333333,0.8,0.023115364444397185,0.04266222195671443,1.0137379023589546,3.1999999999999957,3.1999999999999957,,,0,0,2,2,2,2,0.35245589292997187,0.35245589292997187,0.0,0.0,0.0,0.13043478260869568,0.0,0.7493706814228462,0.7493706814228462,0.048629318577154246,0.048629318577154246,0.0,0.0,0.0,0.0,0.0,0.13043478260869568,3.3179194927215576
40,1.2,2,2.6666666666666665,0.8,0.02420077808409832,0.1369805710890986,1.0533960261691353,3.1999999999999957,3.1999999999999957,,,0,0,2,2,2,2,0.49171500078864877,0.49171500078864877,0.0,0.0,0.0,0.23076923076923073,0.0,0.7329631918445488,0.7329631918445488,0.046236808155451836,0.046236808155451836,0.0,0.0,0.0,0.0,0.0,0.23076923076923073,3.432370185852051
40,1.2,3,1.7777777777777777,0.8,0.026009800802145294,0.22672490186637514,1.1151370800093237,3.1999999999999957,3.1999999999999957,,,0,0,2,2,2,2,0.5637805949652523,0.5637805949652523,0.0,0.0,0.0,0.31034482758620685,0.0,0.7493706814228464,0.7493706814228464,0.048629318577154135,0.048629318577154135,0.0,0.0,0.0,0.0,0.0,0.31034482758620685,3.1443259716033936
40,1.2,4,1.3333333333333333,0.8,0.028542440573014322,0.2852770284771358,1.194446050116595,3.1999999999999957,3.9999999999999964,,,0,0,2,2,2,2,0.6021808102656661,0.8409160494198339,0.06276035215115243,0.060624621816434424,0.0,0.4117647058823529,-0.2500000000000005,0.7600371289839649,0.7664371289839658,0.02716287101603565,0.07516287101603614,0.0631548093763588,0.06682249624532115,0.06833267548698259,0.12997730562167994,0.12338497396758685,0.5472475488302735,2.9998557567596436
