x,y,block,inside_target
24.375,-0.45,0.014900736584753216,False
24.5,-0.45,0.006537527137819556,False
24.625,-0.45,-0.001259332107675904,False
24.75,-0.45,-0.006019553114986238,False
24.875,-0.45,-0.006779011878502446,False
25.0,-0.45,-0.004206110620877459,False
25.125,-0.45,-0.00013234213127412886,False
25.25,-0.45,0.0032903155275320825,False
25.375,-0.45,0.004470754403418265,False
25.5,-0.45,0.002975245998349597,False
25.625,-0.45,-0.0003624254829293137,False
25.75,-0.45,-0.003833283313903884,False
25.875,-0.45,-0.0055817482908652235,False
26.0,-0.45,-0.004387683878683787,False
26.125,-0.45,-0.000205924654635814,False
26.25,-0.45,0.005740769044871663,False
26.375,-0.45,0.011356506173156226,False
26.5,-0.45,0.014419719088665928,False
26.625,-0.45,0.013419859724967523,False
26.75,-0.45,0.008183879130359546,False
26.875,-0.45,6.172620870916433e-05,False
27.0,-0.45,-0.008410064384966706,False
27.125,-0.45,-0.014268241496824558,False
27.25,-0.45,-0.015060698774510363,False
27.375,-0.45,-0.009653120616997139,False
27.5,-0.45,0.0013631271349722595,False
27.625,-0.45,0.01579679251812839,False
27.75,-0.45,0.030473709601724432,False
27.875,-0.45,0.04214168950734007,False
28.0,-0.45,0.048371111635030606,False
28.125,-0.45,0.048170905299095054,False
28.25,-0.45,0.042145309750530734,False
28.375,-0.45,0.03217616110370126,False
28.5,-0.45,0.02077057005204285,False
28.625,-0.45,0.010310691894573041,False
28.75,-0.45,0.0024504823774265973,False
28.875,-0.45,-0.0021724749841504623,False
29.0,-0.45,-0.0038690924287916395,False
29.125,-0.45,-0.0035603747134584675,False
29.25,-0.45,-0.002333345650630202,False
29.375,-0.45,-0.00106398688823859,False
29.5,-0.45,-0.00022207754084347102,False
29.625,-0.45,0.00011922949529152957,False
29.75,-0.45,0.00013075275803526386,False
29.875,-0.45,3.632380353135551e-05,False
30.0,-0.45,-2.199431355294611e-05,False
30.125,-0.45,-1.869090796952324e-05,False
30.25,-0.45,3.1471370679408836e-06,False
30.375,-0.45,5.199129723046164e-06,False
30.5,-0.45,-6.000772235297571e-06,False
30.625,-0.45,2.6021425693445304e-06,False
30.75,-0.45,3.487882953448137e-05,False
30.875,-0.45,2.4058332504447667e-05,False
31.0,-0.45,-0.0001470341543371638,False
31.125,-0.45,-0.0005548405026918798,False
31.25,-0.45,-0.001115458301311229,False
31.375,-0.45,-0.0015135833727388157,False
31.5,-0.45,-0.0012506245326241155,False
31.625,-0.45,0.00016857455171603863,False
31.75,-0.45,0.0029662077937445365,False
31.875,-0.45,0.006857268175606111,False
32.0,-0.45,0.010982223484384714,False
32.125,-0.45,0.01408699413889438,False
32.25,-0.45,0.014929022315561207,False
32.375,-0.45,0.01277767258272819,False
32.5,-0.45,0.0078091408971589366,False
32.625,-0.45,0.0012084137711568538,False
32.75,-0.45,-0.005111302589329231,False
32.875,-0.45,-0.009111360847862755,False
33.0,-0.45,-0.009350801442871228,False
33.125,-0.45,-0.005557170464795914,False
33.25,-0.45,0.0011910546335142458,False
33.375,-0.45,0.00876964637087687,False
33.5,-0.45,0.014714050608448352,False
33.625,-0.45,0.017076007421630034,False
33.75,-0.45,0.015113328751300226,False
33.875,-0.45,0.00955023808222063,False
34.0,-0.45,0.0023066158211298557,False
34.125,-0.45,-0.004202095655185896,False
34.25,-0.45,-0.00792819724878475,False
34.375,-0.45,-0.007892932501467737,False
34.5,-0.45,-0.004469426572231295,False
34.625,-0.45,0.0008406937475543136,False
34.75,-0.45,0.006027401425551403,False
34.875,-0.45,0.009332290247259569,False
35.0,-0.45,0.009852229714806092,False
35.125,-0.45,0.0077699598556154725,False
35.25,-0.45,0.004155760003141816,False
35.375,-0.45,0.0004568853004024765,False
35.5,-0.45,-0.002095121536057588,False
35.625,-0.45,-0.002917407431066518,False
35.75,-0.45,-0.0021949549742607526,False
35.875,-0.45,-0.0006752656586120257,False
36.0,-0.45,0.0007370240082501129,False
36.125,-0.45,0.0013908429813534286,False
36.25,-0.45,0.0011288875630511871,False
36.375,-0.45,0.00027418869903317994,False
36.5,-0.45,-0.0005999978524760648,False
36.625,-0.45,-0.0009873631935724543,False
36.75,-0.45,-0.0006966593476101481,False
36.875,-0.45,7.915614472570238e-05,False
37.0,-0.45,0.0008901252181537573,False
37.125,-0.45,0.0012767571582416263,False
37.25,-0.45,0.0010100478463929783,False
37.375,-0.45,0.0002075609147620946,False
37.5,-0.45,-0.000725840413243413,False
37.625,-0.45,-0.0012982489836288603,False
37.75,-0.45,-0.001171981097597941,False
