x,y,block
20.1275,-0.1975,-2.09036237874032e-06
20.13,-0.1975,-1.95299180442174e-06
20.1325,-0.1975,-1.8228471934888868e-06
20.135,-0.1975,-1.6996643943954778e-06
20.1375,-0.1975,-1.5831839711298177e-06
20.14,-0.1975,-1.4731512715091164e-06
20.1425,-0.1975,-1.3693164904106982e-06
20.145,-0.1975,-1.271434728005729e-06
20.1475,-0.1975,-1.1792660430569e-06
20.15,-0.1975,-1.0925755013463432e-06
20.1525,-0.1975,-1.0111332193012765e-06
20.155,-0.1975,-9.347144028750282e-07
20.1575,-0.1975,-8.630993817656914e-07
20.16,-0.1975,-7.96073639026604e-07
20.1625,-0.1975,-7.334278361495007e-07
20.165,-0.1975,-6.749578336791558e-07
20.1675,-0.1975,-6.204647074447868e-07
20.17,-0.1975,-5.697547604633533e-07
20.1725,-0.1975,-5.226395306085185e-07
20.175,-0.1975,-4.789357940947468e-07
20.1775,-0.1975,-4.384655648723524e-07
20.18,-0.1975,-4.0105608999318575e-07
20.1825,-0.1975,-3.6653984103161837e-07
20.185,-0.1975,-3.3475450163580736e-07
20.1875,-0.1975,-3.0554295127782716e-07
20.19,-0.1975,-2.787532452948415e-07
20.1925,-0.1975,-2.542385912871856e-07
20.195,-0.1975,-2.3185732195533964e-07
20.1975,-0.1975,-2.1147286445881452e-07
20.2,-0.1975,-1.9295370636969173e-07
20.2025,-0.1975,-1.761733583080191e-07
20.205,-0.1975,-1.6101031333295492e-07
20.2075,-0.1975,-1.4734800317549497e-07
20.21,-0.1975,-1.3507475139037216e-07
20.2125,-0.1975,-1.240837235107018e-07
20.215,-0.1975,-1.142728742862847e-07
20.2175,-0.1975,-1.0554489208794026e-07
20.22,-0.1975,-9.780714055950681e-08
20.2225,-0.1975,-9.09715975999475e-08
20.225,-0.1975,-8.495479175929124e-08
20.2275,-0.1975,-7.967773613141948e-08
20.23,-0.1975,-7.506585982237323e-08
20.2325,-0.1975,-7.104893708423724e-08
20.235,-0.1975,-6.756101419087721e-08
20.2375,-0.1975,-6.454033414467245e-08
20.24,-0.1975,-6.192925928918889e-08
20.2425,-0.1975,-5.967419192246994e-08
20.245,-0.1975,-5.7725492982148355e-08
20.2475,-0.1975,-5.60373988927217e-08
20.25,-0.1975,-5.456793665555033e-08
20.2525,-0.1975,-5.32788372649205e-08
20.255,-0.1975,-5.213544753017726e-08
20.2575,-0.1975,-5.110664039151341e-08
20.26,-0.1975,-5.0164723804571636e-08
20.2625,-0.1975,-4.92853482843736e-08
20.265,-0.1975,-4.8447413180516e-08
20.2675,-0.1975,-4.763297177257803e-08
20.27,-0.1975,-4.6827135264837047e-08
