s,round6_deficit,round7_deficit,round8_seed_deficit,round6_signed_clearance,round7_signed_clearance,round8_seed_signed_clearance
1.040000000000000091e-01,1.264261255139043430e-02,4.481939835225775583e-03,0.000000000000000000e+00,2.735738744860956653e-02,3.551806016477422612e-02,8.066133882339318606e-02
1.049999999999999961e-01,1.238028598110871292e-02,4.082720496930182519e-03,0.000000000000000000e+00,2.761971401889128791e-02,3.591727950306981831e-02,8.076894276820655028e-02
1.059999999999999970e-01,1.211823476146699566e-02,3.907113006197039662e-03,0.000000000000000000e+00,2.788176523853300517e-02,3.609288699380296117e-02,8.087860201148906747e-02
1.069999999999999979e-01,1.185659968211310103e-02,3.923887125836626744e-03,0.000000000000000000e+00,2.814340031788689980e-02,3.607611287416337409e-02,8.099035822419349551e-02
1.079999999999999988e-01,1.159547061516404826e-02,3.934774062740516165e-03,0.000000000000000000e+00,2.840452938483595258e-02,3.606522593725948467e-02,8.110425752396195620e-02
1.089999999999999997e-01,1.133486881930944462e-02,3.919834441843045303e-03,0.000000000000000000e+00,2.866513118069055621e-02,3.608016555815695553e-02,8.122035009423646257e-02
1.100000000000000006e-01,1.107487292166111498e-02,3.879066074485397475e-03,0.000000000000000000e+00,2.892512707833888586e-02,3.612093392551460336e-02,8.133868967203705669e-02
1.110000000000000014e-01,1.081555843500737329e-02,3.812524299822268870e-03,0.000000000000000000e+00,2.918444156499262754e-02,3.618747570017773196e-02,8.145931740512260544e-02
1.120000000000000023e-01,1.055699767817052520e-02,3.720321150037099456e-03,0.000000000000000000e+00,2.944300232182947563e-02,3.627967884996290138e-02,8.158229892102179803e-02
1.130000000000000032e-01,1.029925971690949862e-02,3.602623925026108773e-03,0.000000000000000000e+00,2.970074028309050221e-02,3.639737607497389033e-02,8.170769808329089723e-02
1.140000000000000041e-01,1.004242313519369129e-02,3.459653211077257703e-03,0.000000000000000000e+00,2.995757686480630955e-02,3.654034678892274096e-02,8.183557379304437496e-02
1.150000000000000050e-01,9.786607877189056753e-03,3.291680390849494216e-03,0.000000000000000000e+00,3.021339212281094408e-02,3.670831960915050401e-02,8.196598319311350356e-02
1.160000000000000059e-01,9.531819068918662846e-03,3.099024702718330710e-03,0.000000000000000000e+00,3.046818093108133799e-02,3.690097529728166709e-02,8.209897537105326215e-02
1.170000000000000068e-01,9.278094449762377266e-03,2.882049915918231692e-03,0.000000000000000000e+00,3.072190555023762357e-02,3.711795008408176610e-02,8.223456441168554287e-02
1.180000000000000077e-01,9.025486513869945826e-03,2.641160693649755725e-03,0.000000000000000000e+00,3.097451348613005501e-02,3.735883930635024858e-02,8.237282233023543454e-02
1.190000000000000085e-01,8.773097563293696943e-03,2.376798719373986440e-03,0.000000000000000000e+00,3.122690243670630389e-02,3.762320128062601743e-02,8.251377903401331537e-02
1.199999999999999956e-01,8.499108941768210301e-03,2.089438661952623677e-03,0.000000000000000000e+00,3.150089105823179053e-02,3.791056133804737716e-02,8.265744723808696182e-02
1.209999999999999964e-01,8.194454082587926402e-03,1.779584053332422533e-03,0.000000000000000000e+00,3.180554591741207443e-02,3.822041594666757830e-02,8.280376912192684291e-02
1.219999999999999973e-01,7.860040124572635623e-03,1.447763148418435009e-03,0.000000000000000000e+00,3.213995987542736521e-02,3.855223685158156582e-02,8.295278249387794123e-02
1.229999999999999982e-01,7.496817308813075176e-03,1.094524831018392486e-03,0.000000000000000000e+00,3.250318269118692566e-02,3.890547516898160835e-02,8.310444979629844076e-02
1.239999999999999991e-01,7.105768386704736095e-03,7.254083091834048758e-04,0.000000000000000000e+00,3.289423161329526474e-02,3.927459169081659596e-02,8.325862293744661080e-02
1.250000000000000000e-01,6.687898551776920442e-03,3.565355084236138117e-04,0.000000000000000000e+00,3.331210144822308039e-02,3.964346449157638702e-02,8.341527859390758526e-02
1.260000000000000009e-01,6.244226060214908003e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.375577393978509283e-02,4.001091930803665070e-02,8.357429263054026725e-02
1.270000000000000018e-01,5.775773659824061379e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.422422634017593945e-02,4.037696665880308178e-02,8.373541239510819134e-02
1.280000000000000027e-01,5.283560904376254086e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.471643909562374675e-02,4.074161650825858239e-02,8.389856352964576713e-02
1.290000000000000036e-01,4.768597391696431653e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.523140260830356918e-02,4.110487951997584405e-02,8.406338482504459308e-02
1.300000000000000044e-01,4.231876930690700589e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.576812306930930024e-02,4.146676539344457818e-02,8.422974438257396779e-02
