case,epsilon,action_difference
short_before_conjugate,0.020000000000000018,0.00029347317369787795
short_before_conjugate,0.030000000000000027,0.0006603146408364902
short_before_conjugate,0.040000000000000036,0.0011738926948345885
short_before_conjugate,0.050000000000000044,0.001834207335692617
short_before_conjugate,0.06000000000000005,0.0026412585634102426
short_before_conjugate,0.07000000000000006,0.0035950463779876873
short_before_conjugate,0.08000000000000007,0.004695570779425284
short_before_conjugate,0.09000000000000008,0.005942831767721923
short_before_conjugate,0.10000000000000009,0.007336829342878715
short_before_conjugate,0.1100000000000001,0.008877563504895214
short_before_conjugate,0.1200000000000001,0.010565034253771421
short_before_conjugate,0.13000000000000012,0.012399241589507337
short_before_conjugate,0.14000000000000012,0.014380185512103072
short_before_conjugate,0.15000000000000013,0.016507866021558515
short_before_conjugate,0.16000000000000014,0.018782283117873666
short_before_conjugate,0.17000000000000015,0.021203436801048636
short_before_conjugate,0.18000000000000016,0.023771327071083204
short_before_conjugate,0.19000000000000017,0.026485953927977812
short_before_conjugate,0.20000000000000018,0.029347317371731907
short_before_conjugate,0.20999999999999996,0.03235541740234593
short_before_conjugate,0.21999999999999997,0.035510254019819665
short_before_conjugate,0.22999999999999998,0.038811827224152995
short_before_conjugate,0.24,0.042260137015346255
short_before_conjugate,0.25,0.04585518339339911
short_before_conjugate,0.26,0.04959696635831168
short_before_conjugate,0.27,0.053485485910084285
short_before_conjugate,0.28,0.05752074204871627
short_before_conjugate,0.29000000000000004,0.06170273477420818
short_before_conjugate,0.30000000000000004,0.0660314640865598
short_before_conjugate,0.31000000000000005,0.07050692998577168
short_before_conjugate,0.32000000000000006,0.07512913247184283
short_before_conjugate,0.33000000000000007,0.07989807154477346
short_before_conjugate,0.3400000000000001,0.08481374720456403
short_before_conjugate,0.3500000000000001,0.08987615945121474
short_before_conjugate,0.3600000000000001,0.09508530828472495
short_before_conjugate,0.3700000000000001,0.10044119370509463
short_before_conjugate,0.3800000000000001,0.10594381571232447
short_before_conjugate,0.3900000000000001,0.1115931743064138
short_before_conjugate,0.40000000000000013,0.11738926948736284
short_before_conjugate,0.41000000000000014,0.1233321012551718
short_before_conjugate,0.42000000000000015,0.12942166960984047
short_before_conjugate,0.43000000000000016,0.13565797455136863
short_before_conjugate,0.44000000000000017,0.14204101607975694
short_before_conjugate,0.4500000000000002,0.14857079419500474
short_before_conjugate,0.4600000000000002,0.15524730889711247
short_before_conjugate,0.47,0.16207056018607968
short_before_conjugate,0.48,0.16904054806190683
short_before_conjugate,0.49,0.17615727252459412
short_before_conjugate,0.5,0.18342073357414024
short_before_conjugate,0.51,0.19083093121054628
short_before_conjugate,0.52,0.1983878654338127
short_before_conjugate,0.53,0.2060915362439384
short_before_conjugate,0.54,0.21394194364092423
short_before_conjugate,0.55,0.22193908762476933
short_before_conjugate,0.56,0.23008296819547458
short_before_conjugate,0.5700000000000001,0.23837358535303954
short_before_conjugate,0.5800000000000001,0.246810939097464
short_before_conjugate,0.5900000000000001,0.25539502942874837
short_before_conjugate,0.6000000000000001,0.2641258563468927
short_before_conjugate,0.6100000000000001,0.27300341985189647
short_before_conjugate,0.6200000000000001,0.2820277199437602
short_before_conjugate,0.6300000000000001,0.29119875662248296
short_before_conjugate,0.6400000000000001,0.3005165298880663
short_before_conjugate,0.6500000000000001,0.30998103974050917
short_before_conjugate,0.6600000000000001,0.3195922861798115
short_before_conjugate,0.6700000000000002,0.32935026920597377
short_before_conjugate,0.6800000000000002,0.3392549888189962
short_before_conjugate,0.6900000000000002,0.34930644501887786
short_before_conjugate,0.7000000000000002,0.3595046378056199
short_before_conjugate,0.7100000000000002,0.3698495671792208
short_before_conjugate,0.72,0.3803412331396818
short_before_conjugate,0.73,0.3909796356870028
short_before_conjugate,0.74,0.4017647748211832
short_before_conjugate,0.75,0.4126966505422234
short_before_conjugate,0.76,0.4237752628501237
short_before_conjugate,0.77,0.43500061174488325
short_before_conjugate,0.78,0.44637269722650275
short_before_conjugate,0.79,0.4578915192949822
short_before_conjugate,0.8,0.46955707795032087
short_before_conjugate,0.8100000000000003,0.4813693731925204
short_before_conjugate,0.8200000000000001,0.4933284050215785
short_before_conjugate,0.8300000000000003,0.5054341734374974
short_before_conjugate,0.8400000000000001,0.5176866784402752
short_before_conjugate,0.8499999999999999,0.5300859200299126
