beta,load_fraction,connector_reserve,connector_differential_authority,max_real_eigenvalue,stability_margin
0.02,0.5846989966555184,0.4153010033444816,0.6581270833100301,-0.035547282521819094,0.035547282521819094
0.02,0.5880401337792642,0.41195986622073577,0.654208801064865,-0.035550717803986095,0.035550717803986095
0.02,0.59138127090301,0.40861872909699004,0.6502681924251408,-0.035554173435075255,0.035554173435075255
0.02,0.5947224080267558,0.4052775919732442,0.646305257390857,-0.03555764942858978,0.03555764942858978
0.02,0.5980635451505016,0.40193645484949836,0.6423199959620138,-0.03556114579811828,0.03556114579811828
0.02,0.6014046822742475,0.3985953177257525,0.6383124081386115,-0.03556466255733458,0.03556466255733458
0.02,0.6047458193979933,0.3952541806020067,0.6342824939206497,-0.03556819971999787,0.03556819971999787
0.02,0.608086956521739,0.39191304347826095,0.6302302533081287,-0.03557175729995318,0.03557175729995318
0.02,0.6114280936454849,0.3885719063545151,0.6261556863010482,-0.03557533531113098,0.03557533531113098
0.02,0.6147692307692307,0.38523076923076927,0.6220587928994084,-0.03557893376754806,0.03557893376754806
0.02,0.6181103678929766,0.3818896321070234,0.6179395731032091,-0.03558255268330675,0.03558255268330675
0.02,0.6214515050167224,0.3785484949832776,0.6137980269124506,-0.035586192072596334,0.035586192072596334
0.02,0.6247926421404681,0.37520735785953185,0.6096341543271329,-0.03558985194969183,0.03558985194969183
0.02,0.628133779264214,0.371866220735786,0.6054479553472557,-0.035593532328955034,0.035593532328955034
0.02,0.6314749163879598,0.36852508361204017,0.6012394299728192,-0.03559723322483471,0.03559723322483471
0.02,0.6348160535117057,0.36518394648829433,0.5970085782038232,-0.03560095465186627,0.03560095465186627
0.02,0.6381571906354515,0.3618428093645485,0.5927554000402679,-0.035604696624672125,0.035604696624672125
0.02,0.6414983277591972,0.35850167224080276,0.5884798954821535,-0.035608459157961986,0.035608459157961986
0.02,0.6448394648829431,0.3551605351170569,0.5841820645294796,-0.035612242266533145,0.035612242266533145
0.02,0.6481806020066889,0.3518193979933111,0.5798619071822464,-0.03561604596527031,0.03561604596527031
0.02,0.6515217391304348,0.34847826086956524,0.5755194234404537,-0.03561987026914555,0.03561987026914555
0.02,0.6548628762541806,0.3451371237458194,0.5711546133041017,-0.035623715193219455,0.035623715193219455
0.02,0.6582040133779264,0.34179598662207356,0.5667674767731905,-0.03562758075264042,0.03562758075264042
0.02,0.6615451505016722,0.3384548494983278,0.5623580138477199,-0.03563146696264474,0.03563146696264474
0.02,0.664886287625418,0.335113712374582,0.5579262245276899,-0.035635373838557756,0.035635373838557756
0.02,0.6682274247491639,0.33177257525083614,0.5534721088131005,-0.03563930139579301,0.03563930139579301
0.02,0.6715685618729097,0.3284314381270903,0.5489956667039518,-0.03564324964985272,0.03564324964985272
0.02,0.6749096989966555,0.32509030100334446,0.5444968982002438,-0.035647218616328434,0.035647218616328434
0.02,0.6782508361204013,0.32174916387959873,0.5399758033019766,-0.03565120831090045,0.03565120831090045
0.02,0.6815919732441471,0.3184080267558529,0.5354323820091498,-0.035655218749338566,0.035655218749338566
0.02,0.684933110367893,0.31506688963210705,0.5308666343217638,-0.035659249947501886,0.035659249947501886
0.02,0.6882742474916388,0.3117257525083612,0.5262785602398183,-0.035663301921339596,0.035663301921339596
0.02,0.6916153846153846,0.30838461538461537,0.5216681597633136,-0.035667374686890296,0.035667374686890296
