scenario,sigma,culprit,ff_class,gf_class,ff_correct,gf_correct,ff_culprit_correct,gf_culprit_correct,ff_rmse,gf_rmse
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.00361155633224431,0.10646342118311844
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004387986162762899,0.08823165387332284
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004493520928526269,0.07604390182775447
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.0038409567994001697,0.09195599458255228
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004308606090488056,0.08130294520104417
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004885726442309606,0.06427120084548238
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.0048339629391730326,0.08782045823258348
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.003676184610989952,0.10661668603787863
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.0044628012448343374,0.10098251812715409
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.0038206366994727224,0.08463268998307079
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.003947475280802962,0.09401695886977306
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.0036657995969231996,0.0971763765317249
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.0042336467439310745,0.08016984381347636
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004302898539250599,0.0563667936441115
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.003191585112272598,0.07933939641218327
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.0037058019517415847,0.07594892793587646
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.0036375642954914254,0.06540190234646791
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004888362719987973,0.07047476280641214
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004486392346909266,0.09486291569657708
physical_anomaly,0.005,,physical_anomaly,sensor_anomaly,True,False,True,True,0.004721492110617677,0.07651376306179074
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.0056479134119228865,0.09580783214303065
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.00464046945587102,0.06058456632400609
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.003767545569900614,0.09987824040368193
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004567539130515599,0.0779122261078157
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004872243716551392,0.08908341083311896
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.0050239272022902836,0.08955138889158305
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.00489361061969832,0.10236694486360108
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004920932549285269,0.07555744391828831
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004713276509102152,0.07917705409139532
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.003995768605161666,0.09094508007708936
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.00411719847979592,0.103638550489262
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.003960727903150112,0.09925090105478167
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004505332770864226,0.09747908616494338
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.0035737730471542646,0.09388518306845857
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004699714523463668,0.09241992426658335
physical_anomaly,0.005,,physical_anomaly,sensor_anomaly,True,False,True,True,0.003618865011183689,0.09252404955146279
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004855957607593802,0.10042507053690077
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004448875417083494,0.08801078221694279
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.003974888250017417,0.10621676174321042
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004857554723107808,0.09256922221262044
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004897174995247032,0.10164929073537773
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004927803574176779,0.11178510737736069
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004573921465078729,0.07452360067191374
physical_anomaly,0.005,,physical_anomaly,sensor_anomaly,True,False,True,True,0.004533281077937903,0.08902895297975606
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.0033733458391529774,0.08705294051260923
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004511472428318152,0.11627693892618636
physical_anomaly,0.005,,physical_anomaly,physical_anomaly,True,True,True,True,0.004214377535848309,0.08861663922124363
