sigma,corrupt,suspect,suspect_correct,state_one,state_hist_ls,state_hist_rob,state_repaired,E_one,E_hist_ls,E_hist_rob,E_repaired,A_one,A_hist_ls,A_hist_rob,A_repaired,max_channel_residual,O5_residual
0.005,True,O5,True,0.5208247378246725,0.08243409537597751,0.018525617207104928,0.004038488937626109,0.07177445906368071,0.0012505331185186674,0.000435181561426316,0.00026644084581008674,0.055331638632302706,0.061048913791504046,0.010981181091749014,0.0008831436871716259,0.313483115978387,0.313483115978387
0.005,True,O5,True,0.2104639329104341,0.11507372709289261,0.021463861922250447,0.0013643462863950238,0.017046311799427335,0.0052018220457759265,0.002141608753519412,0.0009929390743143025,0.015956941593791775,0.004549306396091204,0.00233532808627591,0.0008679989122701535,0.3117419347817279,0.3117419347817279
0.005,True,O5,True,0.11256513947030482,0.10122232813594058,0.01884100034610866,0.0020083463201614918,0.05690255572961104,0.007364520970572303,0.00015476221983552226,0.0013445771715078722,0.11279150813714026,0.04028806109823723,0.006426399895139968,0.001324439401857985,0.31325947971000045,0.31325947971000045
0.005,True,O5,True,0.08817769261182085,0.027209329847302684,0.006877131283156176,0.002043561979622357,0.10133624149878746,0.015117395575986743,0.0032597991176257276,0.0006930923052643107,0.1043329372517537,0.014125318460538744,0.0031500395469658314,0.0015675723134163779,0.3149162847068283,0.3149162847068283
0.005,True,O5,True,1.0209111413567697,0.07771130752423118,0.01668239231749704,0.003165141781983722,0.07761146356813114,0.044888642972576706,0.007532435893297118,0.00010656946747631913,0.16308437163853576,0.04047873815386124,0.007435954689707525,0.00010711931462099419,0.3170352955533234,0.3170352955533234
0.005,True,O5,True,0.10261683344459105,0.06223440127607187,0.011391762098349691,0.0024675547438825058,0.06719459239627312,0.004552709615551034,0.0015672190258584071,0.0011490141510210373,0.08936660319706123,0.013636636689570566,0.002424919470700234,0.001413990454742941,0.3153003353037498,0.3153003353037498
0.02,False,O2,True,0.04366058326768572,0.007967374612400623,0.007968045055024981,0.007967995705234284,0.0004566081601769475,0.004000644720433249,0.0039286380938432595,0.003928635400051812,0.007417985759840481,0.004481724628887845,0.0045327154486645895,0.004532714614143094,0.019620045148440207,0.014992330867212545
0.02,False,O1,True,0.017975385539804527,0.011689676960103137,0.011325233257695331,0.011325232808436355,0.0043257576121819566,0.007328775363026575,0.007701690945608304,0.007701690898057503,0.010846822242998095,0.015047500895527898,0.014657709064963637,0.01465770905952267,0.02622111773083743,0.017226311776529234
0.02,False,O5,True,0.011707306731397018,0.006094775147038659,0.006602269168276604,0.00660226868905067,0.005684153973880404,0.0028903160743951294,0.0030073698606354828,0.00300736982901497,0.012468266855212197,0.007973339718548553,0.008664984068216175,0.008664986563646107,0.029772513737895506,0.029772513737895506
0.02,False,O1,True,0.030335331567689604,0.007172649762555561,0.005056461038793572,0.005056461038793572,0.02478806368008323,0.004087292324733515,0.003445675103681374,0.003445675103681374,0.0184758387918789,0.003856305947334229,0.003011647246439837,0.003011647246439837,0.033125167317933274,0.014797270713270527
0.02,False,O4,True,0.027887363575159613,0.008874449419257475,0.009183445189328444,0.009183445189328444,0.002087936104739461,0.0008455754969773282,0.0006760404823067519,0.0006760404823067519,0.004909359786682883,0.0008688669256956373,0.0006701307983689347,0.0006701307983689347,0.02261328459087667,0.018844604714165453
0.02,False,O2,True,0.007668383021940246,0.011156630596765473,0.011158421446835641,0.011158421446835641,0.006083901040218167,0.004201830574049174,0.004389380503763342,0.004389380503763342,0.006415669311033524,0.0038573834816599518,0.004018320431183491,0.004018320431183491,0.019845199651497874,0.0148292416500629
0.02,False,O5,True,0.03897656293053508,0.014340082939330413,0.013926511849630079,0.013926501403006882,0.011885496530000214,0.0025890762857367347,0.0030584077916991016,0.0030584053283057677,0.020723037475023128,0.002702794279140415,0.0031629766483689367,0.003162972750553477,0.025048888049119044,0.025048888049119044
0.02,False,O5,True,0.014449385471139912,0.011853376563749232,0.012233866662560862,0.012233866662560862,0.012574070951965725,0.0002879166052376054,6.753911583161535e-05,6.753911583161535e-05,0.015208056527263251,0.001290079136043135,0.0013148231761256597,0.0013148231761256597,0.021685769188856344,0.021685769188856344
0.02,False,O3,True,0.016732257267140456,0.008218989426533777,0.008012484510701301,0.008012484382618602,0.011466085730570667,0.0060397833543301745,0.005912074990268714,0.005912075052084579,0.018970132496252786,0.006043631727380356,0.005929335073212765,0.005929335124134336,0.024103424262915063,0.017335548162109034
0.02,False,O1,True,0.04364344097706231,0.014947456614708877,0.014596978044561431,0.014596995309527704,0.04486464591478163,0.0014509780532927143,0.002219889423473136,0.002219884620602363,0.061255632446815214,0.002957052560128055,0.007172097982980783,0.007172097281567982,0.03678808694513359,0.023072839929270037
0.02,False,O3,True,0.0376950474278464,0.02232086333491004,0.022785889040595215,0.022785879931044355,0.043290569917785265,0.03455334929880997,0.03266631865715934,0.03266632020208384,0.06556509160191569,0.034117796031733164,0.03153822439222326,0.03153822564599173,0.02174298604111848,0.01519585307679681
0.02,False,O5,True,0.03216747585388293,0.022166638705658007,0.02226326728264532,0.022263267614746323,0.019698650618005693,0.0021835832831937877,0.0021177153445279804,0.0021177152838603567,0.019801433033457997,0.025682282456019858,0.026175391731747114,0.026175392446538992,0.028512835416851283,0.028512835416851283
0.02,True,O5,True,0.11120957012817899,0.0692879007296089,0.014214370089916085,0.00640072956787226,0.02633964410764767,0.005945292331415487,0.0005485832555880927,0.0006836961154251228,0.06321530345276548,0.022856927700346856,0.0005725714972257174,0.006245095733354104,0.31475589808245463,0.31475589808245463
0.02,True,O5,True,0.1266492729916119,0.05029300749896051,0.017014056707578128,0.017541784865981645,0.7022042947318152,0.2805507863762969,0.07154936239937229,0.029707351616616435,0.7963948784494439,0.2743821014931678,0.09076077080203002,0.07514656141488345,0.32772134831468497,0.32772134831468497
0.02,True,O5,True,0.07858712211228068,0.0776149398492184,0.01988358002831541,0.012471352952485835,0.0061161645405290645,0.02043860539355368,0.0009609558281917556,0.004967293840726936,0.07669855272766368,0.06577183734027303,0.020330070644843885,0.008872973148035833,0.2992906409092745,0.2992906409092745
0.02,True,O5,True,0.1488239205091363,0.05511287907147295,0.008619696239044227,0.010537766997914077,0.06592083196400454,0.017163050929596413,0.002690710452307691,0.0003817601036572983,0.07772493772900002,0.030153944759528057,0.009692334874694897,0.005301713136478641,0.3151029210970453,0.3151029210970453
