n_obs,sigma,n_history,n_bad,joint_rank_all,joint_rank_repaired,history_rank,state_err_all,state_err_repaired,state_err_history_only,state_err_hybrid,Eerr_all,Eerr_repaired,Eerr_history,Eerr_hybrid,Lerr_all,Lerr_repaired,Lerr_history,Lerr_hybrid,bad_detection_rate,all_bad_identified
5,0.0,4,1,4,4,4,0.11793094930350768,5.802176783577771e-16,3.3766115072321297e-16,5.20740757162067e-16,0.020543060031002168,7.359940713702545e-16,3.6799703568512723e-16,7.359940713702545e-16,0.10646917293490366,7.720250467370879e-16,1.544050093474176e-16,6.176200373896704e-16,1.0,True
5,0.0,4,1,4,4,4,0.04898974034382467,4.577566798522237e-16,8.599750569898517e-16,6.753223014464259e-16,0.002236456104055747,1.1810607610954778e-16,5.905303805477388e-16,4.724243044381911e-16,0.06402292736464507,5.871774851656479e-16,1.1743549703312959e-15,3.9145165677709864e-16,1.0,True
5,0.0,4,1,4,4,4,0.0450981575024716,6.661338147750939e-16,2.6575873065728005e-15,1.0235750533041806e-15,0.009199240087882867,4.2607294460438103e-16,1.278218833813143e-15,4.2607294460438103e-16,0.030411298787021195,4.297891988750587e-16,8.595783977501174e-16,4.297891988750587e-16,1.0,True
5,0.0,4,1,4,4,4,0.02521169203106028,1.6782945342419286e-16,2.2887833992611187e-16,1.5515838457795457e-16,0.03855242144334057,3.8942489261239994e-16,1.2980829753746665e-16,2.596165950749333e-16,0.14671870734928608,1.3243005278498155e-16,1.0594404222798524e-15,5.297202111399262e-16,1.0,True
5,0.0,4,1,4,4,4,0.03306837756374896,3.8459253727671276e-16,8.741904837807691e-16,4.1540741810552243e-16,0.0010949474133001105,0.0,0.0,0.0,0.001767532363251004,1.569389484028929e-16,3.138778968057858e-16,0.0,1.0,True
5,0.0,4,1,4,4,4,0.16490896431836338,2.7194799110210365e-16,2.2887833992611187e-16,1.2412670766236366e-16,0.19259753027788562,0.0,2.512449970006376e-16,0.0,0.02363483406706923,4.47081763333472e-15,0.0,2.1526158975315318e-15,1.0,True
5,0.0,4,1,4,4,4,0.06815148105889154,1.6653345369377348e-16,7.870063977598499e-16,3.3422138886441676e-16,0.019900708090739017,2.390901061753122e-16,1.195450530876561e-15,4.781802123506244e-16,0.19178062943204482,1.617040025146413e-16,6.468160100585652e-16,0.0,1.0,True
5,0.0,4,1,4,4,4,0.07862877068987033,9.155133597044475e-16,9.28879225241625e-16,2.3551386880256624e-16,0.05056448145930061,5.462114510134074e-16,5.462114510134074e-16,0.0,4.032264089392997,2.983573933118221e-14,2.983573933118221e-14,2.983573933118221e-14,1.0,True
5,0.0,4,1,4,4,4,0.22525650064991845,9.992007221626409e-16,9.805224261780596e-16,7.771561172376096e-16,0.14679403336944793,6.661077230016466e-16,4.440718153344311e-16,2.2203590766721554e-16,0.10101245689671493,8.685346980446943e-16,0.0,6.514010235335208e-16,1.0,True
5,0.0,4,1,4,4,4,0.06816546945276591,1.1443916996305594e-16,1.316562550716263e-16,1.3877787807814457e-17,0.02371998326665278,2.479125956816737e-16,4.958251913633474e-16,0.0,10.177221235852665,0.0,2.9988497355540216e-15,2.9988497355540216e-15,1.0,True
