t,psi
-1.862500000000000044e+00,-3.986490093205698193e-02
-1.859999999999999876e+00,-4.586622213368987677e-02
-1.857499999999999929e+00,-5.583715184039736434e-02
-1.854999999999999982e+00,-6.931682430667142347e-02
-1.852500000000000036e+00,-8.548956855990766379e-02
-1.849999999999999867e+00,-1.035090350419063526e-01
-1.847499999999999920e+00,-1.226396709087625714e-01
-1.844999999999999973e+00,-1.422952468348432364e-01
-1.842500000000000027e+00,-1.620317407032689505e-01
-1.840000000000000080e+00,-1.815245160409912628e-01
-1.837499999999999911e+00,-2.005431623473372948e-01
-1.834999999999999964e+00,-2.189290934711298764e-01
-1.832500000000000018e+00,-2.365772887561115589e-01
-1.830000000000000071e+00,-2.534220634245537562e-01
-1.827499999999999902e+00,-2.694262540752080937e-01
-1.824999999999999956e+00,-2.845731223960027978e-01
-1.822500000000000009e+00,-2.988603527555335204e-01
-1.820000000000000062e+00,-3.122956345267094980e-01
-1.817499999999999893e+00,-3.248934331875839021e-01
-1.814999999999999947e+00,-3.366726506233345684e-01
-1.812500000000000000e+00,-3.476549521456866465e-01
-1.810000000000000053e+00,-3.578635976685597964e-01
-1.807499999999999885e+00,-3.673226606416140627e-01
-1.804999999999999938e+00,-3.760565541496860842e-01
-1.802499999999999991e+00,-3.840898119968728097e-01
-1.800000000000000044e+00,-3.914470960333796268e-01
-1.797499999999999876e+00,-3.981534213300814140e-01
-1.794999999999999929e+00,-4.042346093083545311e-01
-1.792499999999999982e+00,-4.097179958690506663e-01
-1.790000000000000036e+00,-4.146334353276110996e-01
-1.787499999999999867e+00,-4.190146459209948548e-01
-1.784999999999999920e+00,-4.229009244366623288e-01
-1.782499999999999973e+00,-4.263391830728888721e-01
-1.780000000000000027e+00,-4.293860594482791226e-01
-1.777500000000000080e+00,-4.321093759141671486e-01
-1.774999999999999911e+00,-4.345872177144300963e-01
-1.772499999999999964e+00,-4.369010378930866523e-01
-1.770000000000000018e+00,-4.391167308268471015e-01
-1.767500000000000071e+00,-4.412483752164324535e-01
-1.764999999999999902e+00,-4.432187548339439065e-01
-1.762499999999999956e+00,-4.448858713794870412e-01
-1.760000000000000009e+00,-4.461675774776860948e-01
-1.757500000000000062e+00,-4.470567186828776629e-01
-1.754999999999999893e+00,-4.475555588022148701e-01
-1.752499999999999947e+00,-4.476653980770183283e-01
-1.750000000000000000e+00,-4.473865226777390403e-01
-1.747500000000000053e+00,-4.467182059435750308e-01
-1.744999999999999885e+00,-4.456587057693206511e-01
-1.742499999999999938e+00,-4.442165470359471513e-01
-1.739999999999999991e+00,-4.427656447588301236e-01
-1.737500000000000044e+00,-4.427266248842391394e-01
-1.734999999999999876e+00,-4.455657207429876143e-01
-1.732499999999999929e+00,-4.517418529272206329e-01
-1.729999999999999982e+00,-4.608663357933746041e-01
-1.727500000000000036e+00,-4.721814045787171565e-01
-1.724999999999999867e+00,-4.848809636164267967e-01
-1.722499999999999920e+00,-4.982547516919244024e-01
-1.719999999999999973e+00,-5.117301661478883545e-01
-1.717500000000000027e+00,-5.248678753939703956e-01
-1.715000000000000080e+00,-5.373410641826300571e-01
-1.712499999999999911e+00,-5.489118013812388508e-01
-1.709999999999999964e+00,-5.594097628745982043e-01
-1.707500000000000018e+00,-5.687148068431291392e-01
-1.705000000000000071e+00,-5.767433755303593701e-01
-1.702499999999999902e+00,-5.834381779862780615e-01
-1.699999999999999956e+00,-5.887605125587432875e-01
-1.697500000000000009e+00,-5.926846528119579238e-01
-1.695000000000000062e+00,-5.951938326840129356e-01
-1.692499999999999893e+00,-5.962774811086779536e-01
-1.689999999999999947e+00,-5.959294582776732963e-01
-1.687500000000000000e+00,-5.941471332216484713e-01
-1.685000000000000053e+00,-5.909312184966801773e-01
-1.682499999999999885e+00,-5.862863473346221488e-01
-1.679999999999999938e+00,-5.802224470612618035e-01
-1.677499999999999991e+00,-5.727570354344768688e-01
-1.675000000000000044e+00,-5.639186491697094628e-01
-1.672499999999999876e+00,-5.537517108234426555e-01
-1.669999999999999929e+00,-5.423232531810064927e-01
-1.667499999999999982e+00,-5.297320436558946577e-01
-1.665000000000000036e+00,-5.161207607853800505e-01
-1.662499999999999867e+00,-5.016919034597959737e-01
-1.659999999999999920e+00,-4.867278973626079086e-01
-1.657499999999999973e+00,-4.716150297919819989e-01
-1.655000000000000027e+00,-4.568685879174746445e-01
-1.652500000000000080e+00,-4.431512566681055088e-01
-1.649999999999999911e+00,-4.312654711423661857e-01
-1.647499999999999964e+00,-4.220790851361965745e-01
-1.645000000000000018e+00,-4.163140462958099808e-01
-1.642500000000000071e+00,-4.141290160498075634e-01
-1.639999999999999902e+00,-4.146276928896293068e-01
