real_w,imag_w,G_real,G_imag,orbit_block
8.041666666666666,-0.19333333333333336,0.001831977011716595,-0.0318439831767289,-0.0020213662495766707
8.041666666666666,-0.19,0.0009784459121608968,-0.031514125227897934,-0.0019843654649532175
8.041666666666666,-0.18666666666666668,0.0001412997299358315,-0.03117256438057117,-0.0019434176088943492
8.041666666666666,-0.18333333333333335,-0.0006795440707076973,-0.030819529613825565,-0.0018987632509468739
8.041666666666666,-0.18000000000000002,-0.001484166436730456,-0.030455248626552384,-0.0018506388377864075
8.041666666666666,-0.17666666666666667,-0.0022726467332748884,-0.030079947862443616,-0.0017992766804661225
8.041666666666666,-0.17333333333333334,-0.0030450627505012977,-0.02969385253486064,-0.0017449049424151184
8.041666666666666,-0.17,-0.0038014907102850125,-0.02929718665159061,-0.0016877476281555116
8.041666666666666,-0.16666666666666669,-0.004542005272782108,-0.02889017303948852,-0.0016280245727072179
8.041666666666666,-0.16333333333333333,-0.005266679542859146,-0.028473033369008634,-0.0015659514316510165
8.041666666666666,-0.16,-0.005975585076388117,-0.028045988178630892,-0.001501739671821503
8.041666666666666,-0.15666666666666668,-0.006668791886411826,-0.027609256899179355,-0.0014355965626012214
8.041666666666666,-0.15333333333333335,-0.0073463684491717335,-0.027163057878038747,-0.0013677251677893937
8.041666666666666,-0.15000000000000002,-0.008008381710008377,-0.026707608403268947,-0.0012983243380183308
8.041666666666666,-0.14666666666666667,-0.008654897089125951,-0.026243124727622566,-0.0012275887036923882
8.041666666666666,-0.14333333333333334,-0.009285978487228671,-0.025769822092464013,-0.0011557086684239454
8.041666666666666,-0.14,-0.009901688291024464,-0.025287914751595048,-0.001082870402942655
