mu,gamma,chi_saturation,rho_cancellation,reserve_1_minus_chi,restoring_authority_kappa,max_real_eigenvalue,stability_margin
5.850000000000001,0.0,0.9971283708442995,1.0,0.0028716291557004947,0.5726765803385251,-0.4999999999999999,0.4999999999999999
5.9,0.0,0.9972680392369891,1.0,0.0027319607630108544,0.5448994306800669,-0.4999999999999999,0.4999999999999999
5.950000000000001,0.0,0.9974009322376767,1.0,0.002599067762323326,0.5184625218180134,-0.4999999999999999,0.4999999999999999
6.0,0.0,0.9975273768433653,1.0,0.002472623156634657,0.4933018582719862,-0.5,0.5
6.050000000000001,0.0,0.997647684429022,1.0,0.0023523155709780363,0.4693564364865141,-0.4999999999999998,0.4999999999999998
6.100000000000001,0.0,0.9977621514787236,1.0,0.0022378485212763977,0.4465681110544438,-0.49999999999999994,0.49999999999999994
6.15,0.0,0.9978710602840357,1.0,0.0021289397159642842,0.42488146633001483,-0.4999999999999998,0.4999999999999998
6.200000000000001,0.0,0.9979746796109501,1.0,0.0020253203890499005,0.40424369327431986,-0.4999999999999999,0.4999999999999999
6.25,0.0,0.9980732653366725,1.0,0.0019267346633274895,0.38460447137292436,-0.5,0.5
6.300000000000001,0.0,0.9981670610575073,1.0,0.0018329389424927012,0.36591585546518113,-0.49999999999999994,0.49999999999999994
6.350000000000001,0.0,0.9982562986690452,1.0,0.0017437013309548055,0.3481321673246464,-0.4999999999999999,0.4999999999999999
6.4,0.0,0.9983411989198255,1.0,0.0016588010801744657,0.3312098918301755,-0.5,0.5
6.450000000000001,0.0,0.9984219719395963,1.0,0.0015780280604037467,0.3151075775688872,-0.5000000000000002,0.5000000000000002
6.5,0.0,0.9984988177432629,1.0,0.0015011822567371214,0.2997857417138136,-0.49999999999999994,0.49999999999999994
6.550000000000001,0.0,0.9985719267115775,1.0,0.0014280732884225378,0.2852067790210864,-0.5000000000000002,0.5000000000000002
6.600000000000001,0.0,0.9986414800495712,1.0,0.0013585199504287937,0.2713348747946383,-0.49999999999999983,0.49999999999999983
6.65,0.0,0.9987076502237128,1.0,0.0012923497762872271,0.25813592166861365,-0.5000000000000001,0.5000000000000001
6.700000000000001,0.0,0.9987706013787226,1.0,0.0012293986212773556,0.24557744006147136,-0.43349766967595216,0.43349766967595216
6.75,0.0,0.9988304897349445,1.0,0.0011695102650555178,0.23362850215908953,-0.37204884587894327,0.37204884587894327
