s,x,y,kappa
3.732142857142857484e-02,3.478939605488279990e-02,1.123499118661024261e-02,2.422864403489927909e+01
3.749999999999999861e-02,3.492578702958792219e-02,1.135025265396818681e-02,2.425949037782437401e+01
3.767857142857142932e-02,3.506167745747176823e-02,1.146610383418450799e-02,2.428971068784549558e+01
3.785714285714286004e-02,3.519706339217194835e-02,1.158254417421488748e-02,2.431929938423340687e+01
3.803571428571428381e-02,3.533194256329359045e-02,1.169957114732804448e-02,2.434825307933714456e+01
3.821428571428571452e-02,3.546631186959132986e-02,1.181718318910607302e-02,2.437656744213629878e+01
3.839285714285714524e-02,3.560016822756559285e-02,1.193537869858860186e-02,2.440423826099101134e+01
3.857142857142856901e-02,3.573350827223997078e-02,1.205415637346322205e-02,2.443126106932944452e+01
3.874999999999999972e-02,3.586632804783830564e-02,1.217351553935069018e-02,2.445763075845167833e+01
3.892857142857143044e-02,3.599862564328888681e-02,1.229345322622225206e-02,2.448334488806168352e+01
3.910714285714285421e-02,3.613039805016546313e-02,1.241396768762041344e-02,2.450839974270643040e+01
3.928571428571428492e-02,3.626164154848039028e-02,1.253505793129200754e-02,2.453279081748646107e+01
3.946428571428571563e-02,3.639235277287897891e-02,1.265672254557981963e-02,2.455651415836933182e+01
3.964285714285713941e-02,3.652252981179524710e-02,1.277895854968121199e-02,2.457956774026923341e+01
3.982142857142857012e-02,3.665216935738581372e-02,1.290176445700979418e-02,2.460194789311958985e+01
4.000000000000000083e-02,3.678126714664706892e-02,1.302513975134411521e-02,2.462364986122605615e+01
4.017857142857143155e-02,3.690982194252375587e-02,1.314908073084102361e-02,2.464467278484274715e+01
4.035714285714285532e-02,3.703783012382122486e-02,1.327358618361330206e-02,2.466501292979910787e+01
4.053571428571428603e-02,3.716528799162802099e-02,1.339865494045396933e-02,2.468466657975118750e+01
4.071428571428571674e-02,3.729219425765147033e-02,1.352428336718584229e-02,2.470363313406107864e+01
4.089285714285714052e-02,3.741854426132643074e-02,1.365047123721489612e-02,2.472190790434131813e+01
4.107142857142857123e-02,3.754433633088193750e-02,1.377721529757752576e-02,2.473949003401835256e+01
4.125000000000000194e-02,3.766956750073600924e-02,1.390451359232410845e-02,2.475637716914302899e+01
