phi,z
4.974188368183839470e-01,2.739457910414896946e-01
5.061454830783556069e-01,2.730862076802476612e-01
5.148721293383272668e-01,2.721952635203233606e-01
5.235987755982988157e-01,2.712730233887653553e-01
5.323254218582704755e-01,2.703195546501073188e-01
5.410520681182421354e-01,2.693349272049282428e-01
5.497787143782137953e-01,2.683192134882000368e-01
5.585053606381854552e-01,2.672724884674163581e-01
5.672320068981571151e-01,2.661948287873875385e-01
5.759586531581287749e-01,2.650863152033380299e-01
5.846852994181004348e-01,2.639470302676127922e-01
5.934119456780720947e-01,2.627770589779533372e-01
6.021385919380436436e-01,2.615764877195525528e-01
6.108652381980153034e-01,2.603454077329941385e-01
6.195918844579869633e-01,2.590839112345469930e-01
6.283185307179586232e-01,2.577920923740741888e-01
6.370451769779302831e-01,2.564700499905727682e-01
6.457718232379019430e-01,2.551178822282966219e-01
6.544984694978736028e-01,2.537356934193887303e-01
6.632251157578452627e-01,2.523437541600995204e-01
6.719517620178169226e-01,2.509550271793256071e-01
6.806784082777884715e-01,2.495693891848826396e-01
6.894050545377601313e-01,2.481781614068540032e-01
6.981317007977317912e-01,2.467904632404500087e-01
7.068583470577034511e-01,2.454059420498678201e-01
7.155849933176751110e-01,2.440163772903869710e-01
7.243116395776467709e-01,2.426306590765400784e-01
7.330382858376184307e-01,2.412482054656432950e-01
7.417649320975900906e-01,2.398612540658696668e-01
7.504915783575617505e-01,2.384812176708420994e-01
7.592182246175332994e-01,2.370990288619295172e-01
7.679448708775049592e-01,2.357189174718201385e-01
7.766715171374766191e-01,2.343434446120784553e-01
7.853981633974482790e-01,2.329645633519516756e-01
7.941248096574199389e-01,2.315904755296630535e-01
8.028514559173915988e-01,2.302199108485979417e-01
8.115781021773632586e-01,2.288464809431134672e-01
8.203047484373349185e-01,2.274781580818685256e-01
8.290313946973065784e-01,2.261134423731317178e-01
8.377580409572782383e-01,2.247464033165739172e-01
8.464846872172497871e-01,2.233847835396096104e-01
8.552113334772214470e-01,2.220268534840446339e-01
8.639379797371931069e-01,2.206671404435234241e-01
8.726646259971647668e-01,2.193151126187866118e-01
8.813912722571364267e-01,2.179636557932947971e-01
8.901179185171080865e-01,2.166182377501578438e-01
8.988445647770797464e-01,2.152766693853824520e-01
9.075712110370514063e-01,2.139343933683188481e-01
9.162978572970230662e-01,2.125984629764402223e-01
9.250245035569946150e-01,2.112664592272836817e-01
9.337511498169662749e-01,2.099342823727578522e-01
9.424777960769379348e-01,2.086092728609361124e-01
9.512044423369095947e-01,2.072881066543870165e-01
9.599310885968812546e-01,2.059738928902646038e-01
9.686577348568529144e-01,2.046637526204763691e-01
9.773843811168245743e-01,2.033545010539862252e-01
9.861110273767962342e-01,2.020525014884414217e-01
9.948376736367678941e-01,2.007546448897343516e-01
1.003564319896739443e+00,1.994611303740642938e-01
1.012290966156711214e+00,1.981764475754959898e-01
1.021017612416682763e+00,1.968937041997085857e-01
1.029744258676654534e+00,1.956188032153456380e-01
1.038470904936626082e+00,1.943481752130383766e-01
1.047197551196597631e+00,1.930814687563341403e-01
1.055924197456569402e+00,1.918257668096967350e-01
1.064650843716540951e+00,1.905730422923977152e-01
1.073377489976512722e+00,1.893287375764577674e-01
1.082104136236484271e+00,1.880888226110515593e-01
1.090830782496456042e+00,1.868557581438571591e-01
1.099557428756427591e+00,1.856324801613747910e-01
1.108284075016399362e+00,1.844132033129781689e-01
1.117010721276370910e+00,1.832029091126718134e-01
1.125737367536342459e+00,1.819971066083830857e-01
1.134464013796314230e+00,1.808043452593862122e-01
1.143190660056285779e+00,1.796168446474744051e-01
1.151917306316257550e+00,1.784343530228770514e-01
1.160643952576229099e+00,1.772629771240269991e-01
1.169370598836200870e+00,1.761000986683059211e-01
1.178097245096172418e+00,1.749470164620411661e-01
1.186823891356144189e+00,1.737985477298406300e-01
1.195550537616115738e+00,1.726629526919750135e-01
1.204277183876087287e+00,1.715351869880777647e-01
1.213003830136059058e+00,1.704139090477402307e-01
1.221730476396030607e+00,1.693051705669411933e-01
1.230457122656002378e+00,1.682058515677787303e-01
1.239183768915973927e+00,1.671171011753473934e-01
1.247910415175945698e+00,1.660340965066547936e-01
1.256637061435917246e+00,1.649683051468550377e-01
1.265363707695889017e+00,1.639072238060269582e-01
1.274090353955860566e+00,1.628586896151963115e-01
1.282817000215832115e+00,1.618213103592427704e-01
1.291543646475803886e+00,1.607923214399253342e-01
1.300270292735775435e+00,1.597773741755414145e-01
1.308996938995747206e+00,1.587732596533337204e-01
1.317723585255718755e+00,1.577806712000817679e-01
1.326450231515690525e+00,1.567988846503825806e-01
1.335176877775662074e+00,1.558320835328681209e-01
1.343903524035633845e+00,1.548711519614409948e-01
1.352630170295605394e+00,1.539308023868691533e-01
1.361356816555576943e+00,1.529951622663115740e-01
1.370083462815548714e+00,1.520787144314471040e-01
1.378810109075520263e+00,1.511701541077037081e-01
1.387536755335492034e+00,1.502776537562299786e-01
1.396263401595463582e+00,1.493967945730952929e-01
1.404990047855435353e+00,1.485270098698918684e-01
1.413716694115406902e+00,1.476360657099673734e-01
