n,order,round,lower,upper,width,lower_float,upper_float,width_float,rho
10,2,4,104127044591220432320/32927862745156792961,32927862745156792961/10412704459122043232,3433683820292512484657849089281/342868103235852741511415840458715289952,3.1622776551610841,3.162277665175675,1.0014590998365758e-08,7.917229347463846242908380699838093165915951739121570170411293841032998497680635711278577095593736283E-10
10,3,0,20/11,11/2,81/22,1.8181818181818181,5.5,3.6818181818181817,0.2698738636122383875561565931476590681029577020949439459045652651497017864181915834673220152013677409
10,3,1,8060/2651,2651/806,531441/2136706,3.0403621274990571,3.2890818858560795,0.24871975835702245,0.01965542685740419366203273834477848976734657835196477032298311951447745805426324662348972449358925444
10,3,2,222292889780/70296251531,70296251531/22229288978,150094635296999121/1562635689352773925318,3.1622296344204197,3.1623256866457208,9.6052225300937948e-05,0.000007593595156527534269653100070146534038577361860876690124919703272102462977667228811792689063584451326
10,3,3,4393863893832186332746124276590940/1389461763328598266432987803704411,1389461763328598266432987803704411/439386389383218633274612427659094,3381391913522726342930221472392241170198527451848561/610510587374993050649768846986493224795610278943214558810252063634,3.1622776601683764,3.1622776601683822,5.5386294414019375e-15,4.378671037624053965588898233162875115478245681282557340946315594540632784789112461455250375333591009E-16
10,3,4,33931244690593429419383518846273450036573118141790534924725652326816635855729857703565362737714945620/10730001706677053431059639753439175326317766444871849507769778871731488071725793363948655119451206411,10730001706677053431059639753439175326317766444871849507769778871731488071725793363948655119451206411/3393124469059342941938351884627345003657311814179053492472565232681663585572985770356536273771494562,38662196978715633273404758790074316960214213096178319621856934259807530937321861485192508542873470637501160980081794035970219670238407078788135931371782481/36408231343974420546026621257047853898801223693700592919407709492727528867438407185639501770827204568000152231597959140584534024148169720990677378663904187771234956235136512909348681001712373426036982,3.1622776601683795,3.1622776601683795,1.0619081331758854e-45,8.395120916733026413402102230940161927692413526968118363422269090732181953859351038061031122898872786E-47
10,4,0,20/11,11/2,81/22,1.8181818181818181,5.5,3.6818181818181817,0.2698738636122383875561565931476590681029577020949439459045652651497017864181915834673220152013677409
10,4,1,141680/45281,45281/14168,43046721/641541208,3.128906163733133,3.196005081874647,0.067098918141513988,0.005304485986955426741878009302129058962138495737786487194204309943923040331050315262790152988831201836
10,4,2,104127044591220432320/32927862745156792961,32927862745156792961/10412704459122043232,3433683820292512484657849089281/342868103235852741511415840458715289952,3.1622776551610841,3.162277665175675,1.0014590998365758e-08,7.917229347463846242908380699838093165915951739121570170411293841032998497680635711278577095593736283E-10
10,4,3,29740218627175660636785377368003348931533990799328082680238793232581284152538880/9404682897324109867339266161971499919795589735946282484695091319935635682081281,9404682897324109867339266161971499919795589735946282484695091319935635682081281/2974021862717566063678537736800334893153399079932808268023879323258128415253888,139008452377144732764939786789661303114218850808529137991604824430036072629766435941001769154109609521811665540548899435521/27969732548567885331934624337701281136929477127491691072150685423998609309566784504782536717056695776191734405868154252561212196663563106921666637751867270528,3.1622776601683795,3.1622776601683795,4.9699600143034717e-36,3.929098381290497100759504177025529522832952292354676992078216946083243862316302882558612856130776883E-37
10,4,4,197909487504462322231578834241929497710455031083466403415839853994077575257250879353256934518915221825995329659114094057034921572947638000445552236727120359244814841547437344804194132668344581839705177352155214375924274897052815891658885360360753378361938659220402612393045793675436929255151427925367540217086717189120/62584475107073421920688782883435154519870040053969108643983329126548201019645467156100987294910252968019940070357123222849070478383381900412890534555247182154195027768063777274163803714931315228226612025767462091991862254795498586529413862075273228640164340445250718112565690465931619266640056429093176053251428444161,62584475107073421920688782883435154519870040053969108643983329126548201019645467156100987294910252968019940070357123222849070478383381900412890534555247182154195027768063777274163803714931315228226612025767462091991862254795498586529413862075273228640164340445250718112565690465931619266640056429093176053251428444161/19790948750446232223157883424192949771045503108346640341583985399407757525725087935325693451891522182599532965911409405703492157294763800044555223672712035924481484154743734480419413266834458183970517735215521437592427489705281589165888536036075337836193865922040261239304579367543692925515142792536754021708671718912,373391848741020043532959754184866588225409776783734007750636931722079040617265251229993688938803977220468765065431475158108727054592160858581351336982809187314191748594262580938807019951956404285571818041046681288797402925517668012340617298396574731619152386723046235125934896058590588284654793540505936202376547807442730582144527058988756251452817793413352141920744623027518729185432862375737063985485319476416926263819972887006907013899256524297198527698749274196276811060702333710356481/1238606139417668065181676854065051430943466245117727362108388459938814300798511349243392918892022413512592863612318347934998459930563528828146810380681123519637857917533029267049643503000246399533278552265988755989831124527975423283394052757368229318957053752029114280282279660603153134910527217648708366176549794557153451947454999214893599660485804384491902105567803439959035914498945487898783572233649566580466311914500604583192912170784693271685650457871028980547268852761297927044067074280206240320223219870509020304444458047859747204426374189398445448404825131760247463503777978118198106664584066280065697976316563423945679672832,3.1622776601683795,3.1622776601683795,3.0146132564510829e-145,0
